ticker,event_ticker,series_ticker,league,title,subtitle,yes_sub_title,no_sub_title,market_type,status,result,label_kind,label_usable,result_binary,settlement_value,last_price,yes_bid,yes_ask,no_bid,no_ask,implied_prob_close,odds_multiplier_yes,odds_multiplier_no,edge_yes,edge_no,volume,open_interest,spread,notional_value,open_time,close_time,expiration_time,settlement_ts,created_time,strike_type,floor_strike,cap_strike,functional_strike,can_close_early,rules_primary
KXNBABLK-26MAR23HOUCHI-HOUKDURANT7-3,KXNBABLK-26MAR23HOUCHI,,NBA,Kevin Durant: 3+ blocks,,Kevin Durant: 3+,Kevin Durant: 3+,binary,finalized,no,binary,True,0.0,0.0,0.0,0.0,0.79,0.21,1.0,0.0,,,,,0.0,0.0,0.79,1.0,2026-03-23T09:11:00Z,2026-03-24T02:45:11Z,2026-04-07T00:00:00Z,2026-03-24T02:51:10.79271Z,2026-03-23T09:02:04.593651Z,structured,2.5,,,True,"If Kevin Durant records 3+ Blocks in the Houston at Chicago professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBABLK-26MAR23HOUCHI-HOUKDURANT7-2,KXNBABLK-26MAR23HOUCHI,,NBA,Kevin Durant: 2+ blocks,,Kevin Durant: 2+,Kevin Durant: 2+,binary,finalized,no,binary,True,0.0,0.0,0.27,0.0,0.79,0.21,1.0,0.27,3.7037037037037033,1.36986301369863,-1.0,0.36986301369863006,3.0,3.0,0.79,1.0,2026-03-23T09:11:00Z,2026-03-24T02:45:10Z,2026-04-07T00:00:00Z,2026-03-24T02:51:10.792073Z,2026-03-23T09:02:04.593651Z,structured,1.5,,,True,"If Kevin Durant records 2+ Blocks in the Houston at Chicago professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBABLK-26MAR23HOUCHI-HOUKDURANT7-1,KXNBABLK-26MAR23HOUCHI,,NBA,Kevin Durant: 1+ blocks,,Kevin Durant: 1+,Kevin Durant: 1+,binary,finalized,no,binary,True,0.0,0.0,0.61,0.21,0.63,0.37,0.79,0.61,1.639344262295082,2.564102564102564,-1.0,1.5641025641025639,108.0,108.0,0.42000000000000004,1.0,2026-03-23T09:11:00Z,2026-03-24T02:45:10Z,2026-04-07T00:00:00Z,2026-03-24T02:51:10.790992Z,2026-03-23T09:02:04.593651Z,structured,0.5,,,True,"If Kevin Durant records 1+ Blocks in the Houston at Chicago professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBABLK-26MAR23HOUCHI-HOUASENGUN28-3,KXNBABLK-26MAR23HOUCHI,,NBA,Alperen Sengun: 3+ blocks,,Alperen Sengun: 3+,Alperen Sengun: 3+,binary,finalized,no,binary,True,0.0,0.0,0.0,0.0,0.79,0.21,1.0,0.0,,,,,0.0,0.0,0.79,1.0,2026-03-23T09:11:00Z,2026-03-24T02:45:10Z,2026-04-07T00:00:00Z,2026-03-24T02:51:10.790754Z,2026-03-23T09:02:04.593651Z,structured,2.5,,,True,"If Alperen Sengun records 3+ Blocks in the Houston at Chicago professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR23TORUTA-UTAABAILEY19-20,KXNBAPTS-26MAR23TORUTA,,NBA,Ace Bailey: 20+ points,,Ace Bailey: 20+,Ace Bailey: 20+,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,5297.0,5212.0,0.010000000000000009,1.0,2026-03-23T06:11:00Z,2026-03-24T02:45:10Z,2026-04-07T01:00:00Z,2026-03-24T02:51:10.79054Z,2026-03-23T06:01:21.236674Z,structured,19.5,,,True,"If Ace Bailey records 20+ Points in the Toronto at Utah professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBABLK-26MAR23HOUCHI-HOUASENGUN28-2,KXNBABLK-26MAR23HOUCHI,,NBA,Alperen Sengun: 2+ blocks,,Alperen Sengun: 2+,Alperen Sengun: 2+,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.56,1.0,0.0,0.44,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,444.0,444.0,0.43999999999999995,1.0,2026-03-23T09:11:00Z,2026-03-24T02:45:10Z,2026-04-07T00:00:00Z,2026-03-24T02:51:10.789558Z,2026-03-23T09:02:04.593651Z,structured,1.5,,,True,"If Alperen Sengun records 2+ Blocks in the Houston at Chicago professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HTOTAL-26MAR23GSWDAL-124,KXNBA1HTOTAL-26MAR23GSWDAL,,NBA,Golden State vs Dallas: First Half Total?,,Over 124.5 1H points scored,Over 124.5 1H points scored,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,7080.0,6585.0,0.010000000000000009,1.0,2026-03-23T06:35:00Z,2026-03-24T02:41:33Z,2026-04-07T01:30:00Z,2026-03-24T02:44:53.545876Z,2026-03-23T06:16:02.119022Z,greater,124.5,,,True,"If the teams in the game collectively score more than 124.5 points in the 1st Half of the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBAPTS-26MAR23TORUTA-TORSBARNES4-15,KXNBAPTS-26MAR23TORUTA,,NBA,Scottie Barnes: 15+ points,,Scottie Barnes: 15+,Scottie Barnes: 15+,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,1016.0,1016.0,0.010000000000000009,1.0,2026-03-23T06:11:00Z,2026-03-24T02:40:37Z,2026-04-07T01:00:00Z,2026-03-24T02:46:40.837547Z,2026-03-23T06:01:21.236674Z,structured,14.5,,,True,"If Scottie Barnes records 15+ Points in the Toronto at Utah professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA2D-26MAR23HOUCHI-CHIMBUZELIS14,KXNBA2D-26MAR23HOUCHI,,NBA,Matas Buzelis: Double Double,,Matas Buzelis,Matas Buzelis,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,167.0,167.0,0.01,1.0,2026-03-23T05:11:00Z,2026-03-24T02:40:36Z,2026-04-07T00:00:00Z,2026-03-24T02:46:40.836806Z,2026-03-23T05:01:36.541126Z,structured,,,,True,"If Matas Buzelis records a Double Double in the Houston at Chicago professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBA1HTOTAL-26MAR23GSWDAL-121,KXNBA1HTOTAL-26MAR23GSWDAL,,NBA,Golden State vs Dallas: First Half Total?,,Over 121.5 1H points scored,Over 121.5 1H points scored,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,2154.0,1768.0,0.010000000000000009,1.0,2026-03-23T06:35:00Z,2026-03-24T02:40:09Z,2026-04-07T01:30:00Z,2026-03-24T02:43:10.839647Z,2026-03-23T06:16:02.119022Z,greater,121.5,,,True,"If the teams in the game collectively score more than 121.5 points in the 1st Half of the Golden State vs Dallas professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
